timestamp,frame,risk,mouth,eye,tilt,brow,cheek,rigid,arm,alert_active,face_detected,pose_detected,fps
2026-04-25T14:32:56.943069,0,0,0.000599,0.000261,0.067107,0.0,0.0,0.0,0.042389,0,1,1,0.2
2026-04-25T14:32:57.182592,5,20,0.003909,0.003011,0.338429,0.001568,0.006888,0.002495,0.596256,0,1,1,10.5
2026-04-25T14:32:57.483451,10,40,0.011354,0.005901,0.714118,0.00226,0.017753,0.007075,1.355719,0,1,1,14.1
2026-04-25T14:32:57.805325,15,43,0.013488,0.00474,1.024809,0.002266,0.026037,0.01188,1.842924,0,1,1,15.2
2026-04-25T14:32:58.050582,20,42,0.017714,0.002018,1.067981,0.003978,0.022497,0.011444,1.952248,0,1,1,18.0
2026-04-25T14:32:58.354099,25,41,0.019137,0.000479,1.161408,0.004436,0.013849,0.012527,1.97952,0,1,1,18.0
2026-04-25T14:32:58.670426,30,43,0.012761,0.000114,2.381876,0.00238,0.005597,0.017075,1.991122,0,1,1,18.6
2026-04-25T14:32:58.916732,35,44,0.003615,2.7e-05,3.727013,0.000565,0.001649,0.021673,2.011079,0,1,1,21.4
2026-04-25T14:32:59.258238,40,44,0.000858,6e-06,3.613315,0.000134,0.000391,0.023005,1.99254,0,1,1,20.0
2026-04-25T14:32:59.564743,45,44,0.000204,2e-06,2.220744,3.2e-05,0.004325,0.023884,1.969392,0,1,1,22.7
2026-04-25T14:32:59.841214,50,44,4.8e-05,0.0,1.171223,8e-06,0.010478,0.02471,1.966714,0,1,1,22.1
2026-04-25T14:33:00.174557,55,44,1.1e-05,0.0,1.342017,2e-06,0.010585,0.024705,1.980744,0,1,1,20.4
2026-04-25T14:33:00.508905,60,44,0.00638,0.0,2.042103,0.0,0.006219,0.023732,1.999969,0,1,1,19.2
2026-04-25T14:33:00.799179,65,44,0.012496,0.0,2.828837,0.0,0.006643,0.022555,2.021775,0,1,1,19.1
2026-04-25T14:33:01.093422,70,44,0.011074,0.000517,3.202927,0.001155,0.008119,0.02182,2.042807,0,1,1,21.6
2026-04-25T14:33:01.469084,75,44,0.003528,0.003871,2.937775,0.008423,0.011452,0.021055,2.061843,0,1,1,19.7
2026-04-25T14:33:01.743022,80,45,0.006015,0.005223,2.298988,0.017432,0.022068,0.019979,2.048737,0,1,1,20.2
2026-04-25T14:33:02.079374,85,48,0.019101,0.002927,3.243491,0.02265,0.037399,0.018985,2.012923,0,1,1,19.4
2026-04-25T14:33:02.429949,90,50,0.032264,0.001491,5.674151,0.027514,0.053613,0.019441,1.979777,0,1,1,17.5
2026-04-25T14:33:02.673093,95,52,0.03689,0.000354,7.360273,0.033118,0.066324,0.022796,1.970941,0,1,1,19.7
2026-04-25T14:33:03.044689,100,53,0.036171,8.4e-05,7.628265,0.036469,0.072299,0.024976,1.976947,0,1,1,18.8
2026-04-25T14:33:03.338144,105,52,0.034176,2e-05,7.449907,0.037417,0.073139,0.026197,1.967963,0,1,1,19.7
2026-04-25T14:33:03.621201,110,52,0.033403,5e-06,7.202491,0.035859,0.070502,0.026622,1.941747,0,1,1,19.8
2026-04-25T14:33:03.982525,115,53,0.036954,1e-06,7.128831,0.034254,0.066382,0.025372,1.90453,0,1,1,17.8
2026-04-25T14:33:04.317449,120,56,0.044644,0.000253,7.424971,0.038632,0.063233,0.024418,1.877164,0,1,1,17.4
2026-04-25T14:33:04.584839,125,59,0.049557,0.004345,8.090347,0.046698,0.066428,0.024435,1.867992,0,1,1,19.3
2026-04-25T14:33:04.926693,130,59,0.048086,0.011795,8.573646,0.053661,0.077013,0.025662,1.880246,0,1,1,18.2
2026-04-25T14:33:05.274540,135,59,0.045481,0.019605,8.510114,0.056762,0.08554,0.02669,1.895598,0,1,1,17.8
2026-04-25T14:33:05.557848,140,59,0.044842,0.02379,8.175701,0.057153,0.087825,0.02676,1.91434,0,1,1,19.1
2026-04-25T14:33:05.869257,145,60,0.046318,0.024067,8.010133,0.057637,0.088463,0.02662,1.938557,0,1,1,18.7
2026-04-25T14:33:06.174035,150,61,0.050152,0.023711,8.075377,0.059655,0.088713,0.026648,1.934171,0,1,1,19.3
2026-04-25T14:33:06.416349,155,62,0.051545,0.024506,8.05791,0.060741,0.087577,0.025906,1.932409,0,1,1,20.7
2026-04-25T14:33:06.799665,160,59,0.044564,0.021241,7.185696,0.054132,0.080334,0.022976,1.942922,0,1,1,18.7
2026-04-25T14:33:07.118634,165,52,0.032577,0.012305,5.662363,0.038111,0.062786,0.020376,1.946143,0,1,1,19.3
2026-04-25T14:33:07.434604,170,48,0.024536,0.003761,4.372885,0.022993,0.044494,0.019331,1.945783,0,1,1,18.2
2026-04-25T14:33:07.744173,175,48,0.026879,0.000892,3.152425,0.017661,0.035292,0.020553,1.952532,0,1,1,19.0
2026-04-25T14:33:08.029073,180,48,0.031565,0.000212,1.8734,0.018181,0.032856,0.023414,1.969549,0,1,1,18.7
2026-04-25T14:33:08.303592,185,48,0.031691,5e-05,1.12933,0.018654,0.033511,0.025751,1.975978,0,1,1,19.8
2026-04-25T14:33:08.643695,190,48,0.032338,1.2e-05,1.333305,0.018209,0.033589,0.026357,1.963794,0,1,1,18.4
2026-04-25T14:33:08.943030,195,47,0.032146,3e-06,1.404848,0.016591,0.02953,0.023276,1.966499,0,1,1,19.3
2026-04-25T14:33:09.247223,200,44,0.025241,1e-06,1.844667,0.01453,0.024709,0.015545,1.962946,0,1,1,20.3
2026-04-25T14:33:09.602976,205,43,0.018889,0.0,3.512558,0.017722,0.029238,0.008898,1.971524,0,1,1,19.2
2026-04-25T14:33:09.975293,210,44,0.015281,0.0,5.227455,0.021459,0.033785,0.009807,1.991572,0,1,1,17.6
2026-04-25T14:33:10.202490,215,45,0.011019,0.0,5.946378,0.015509,0.029542,0.014699,1.987572,0,1,1,20.2
2026-04-25T14:33:10.517661,220,46,0.013575,0.0,6.227527,0.006132,0.02711,0.020484,1.968422,0,1,1,20.2
2026-04-25T14:33:10.843559,225,46,0.018209,0.0,6.512023,0.001455,0.028411,0.024374,1.971436,0,1,1,18.9
2026-04-25T14:33:11.103420,230,47,0.014451,0.0,7.028869,0.002019,0.029928,0.024258,1.988239,0,1,1,20.1
2026-04-25T14:33:11.462078,235,48,0.026025,0.0,9.831602,0.021859,0.053793,0.019312,2.015923,0,1,1,18.2
2026-04-25T14:33:11.776468,240,62,0.059056,0.0,14.115819,0.056829,0.094013,0.01644,2.036214,0,1,1,18.1
2026-04-25T14:33:12.070494,245,69,0.088537,0.0,17.321735,0.085937,0.123728,0.019205,2.052593,0,1,1,19.4
2026-04-25T14:33:12.400179,250,70,0.099391,0.0,18.341635,0.099145,0.131845,0.0227,2.040865,0,1,1,20.1
2026-04-25T14:33:12.723049,255,70,0.101863,0.0,18.62867,0.105883,0.135957,0.02414,2.042148,0,1,1,19.6
2026-04-25T14:33:13.071892,260,70,0.100384,0.0,18.21731,0.106421,0.13523,0.024958,2.060636,0,1,1,19.0
2026-04-25T14:33:13.413146,265,69,0.096617,0.0,17.341031,0.102721,0.131522,0.025804,2.077935,0,1,1,18.1
2026-04-25T14:33:13.710296,270,69,0.091315,0.0,16.600483,0.09928,0.129584,0.026166,2.088867,0,1,1,18.2
2026-04-25T14:33:13.964808,275,69,0.085171,0.0,15.952819,0.096882,0.128714,0.026222,2.086516,0,1,1,19.9
2026-04-25T14:33:14.327400,280,69,0.082166,0.0,15.352405,0.094058,0.125299,0.025121,2.081375,0,1,1,19.0
2026-04-25T14:33:14.654185,285,69,0.083118,0.0,14.559436,0.090392,0.119567,0.023925,2.081938,0,1,1,18.8
2026-04-25T14:33:14.899460,290,69,0.085218,0.001273,14.119626,0.084069,0.114675,0.02356,2.082357,0,1,1,20.6
2026-04-25T14:33:15.229078,295,69,0.086742,0.005626,14.095642,0.076597,0.110865,0.024392,2.087235,0,1,1,20.1
2026-04-25T14:33:15.593115,300,69,0.085233,0.011701,13.967223,0.071965,0.107706,0.025545,2.10275,0,1,1,18.2
2026-04-25T14:33:15.889034,305,69,0.081624,0.014762,13.667051,0.070953,0.105154,0.026223,2.115217,0,1,1,18.4
2026-04-25T14:33:16.208488,310,69,0.07814,0.011196,14.024199,0.072031,0.107608,0.025239,2.117561,0,1,1,19.1
2026-04-25T14:33:16.542651,315,69,0.075289,0.005502,15.344799,0.074895,0.118898,0.024592,2.102722,0,1,1,18.8
2026-04-25T14:33:16.832421,320,69,0.073254,0.001492,16.849079,0.076852,0.130863,0.024328,2.080031,0,1,1,18.5
2026-04-25T14:33:17.134044,325,69,0.073642,0.000354,17.455533,0.076858,0.134918,0.025578,2.070558,0,1,1,19.1
2026-04-25T14:33:17.454216,330,69,0.074179,8.4e-05,17.488605,0.077431,0.135221,0.025491,2.071231,0,1,1,18.4
2026-04-25T14:33:17.758684,335,69,0.075659,0.000718,17.392477,0.083549,0.13506,0.024965,2.068187,0,1,1,18.8
2026-04-25T14:33:18.123552,340,69,0.078234,0.000949,17.195981,0.090751,0.133326,0.021716,2.062504,0,1,1,17.6
2026-04-25T14:33:18.477172,345,69,0.079283,0.000557,17.045336,0.090989,0.132051,0.0202,2.069619,0,1,1,17.7
2026-04-25T14:33:18.736783,350,69,0.082889,0.000132,17.129057,0.085681,0.128752,0.021309,2.072448,0,1,1,18.8
2026-04-25T14:33:19.109570,355,69,0.083648,3.1e-05,16.9915,0.079931,0.125794,0.023837,2.070393,0,1,1,17.5
2026-04-25T14:33:19.374686,360,69,0.078299,7e-06,16.488561,0.077259,0.127072,0.024817,2.066337,0,1,1,18.6
2026-04-25T14:33:19.638032,365,68,0.071922,2e-06,16.040026,0.076587,0.131541,0.024846,2.07197,0,1,1,19.7
2026-04-25T14:33:19.976778,370,69,0.07459,0.0,16.137203,0.076582,0.134006,0.023955,2.081788,0,1,1,19.4
2026-04-25T14:33:20.300649,375,69,0.07479,0.0,15.924468,0.074542,0.128652,0.021076,2.071479,0,1,1,19.3
2026-04-25T14:33:20.591278,380,66,0.069209,0.0,15.002569,0.071184,0.11574,0.018337,2.057977,0,1,1,19.1
2026-04-25T14:33:20.923659,385,63,0.060179,0.0,13.823564,0.069291,0.103793,0.019463,2.040952,0,1,1,18.7
2026-04-25T14:33:21.247061,390,62,0.055567,0.0,12.478594,0.067792,0.093117,0.020845,2.028548,0,1,1,18.2
2026-04-25T14:33:21.479326,395,61,0.052094,0.002759,10.627713,0.058358,0.078676,0.022387,2.025141,0,1,1,20.5
2026-04-25T14:33:21.815966,400,59,0.04885,0.006914,8.782416,0.047363,0.065402,0.023198,2.05272,0,1,1,19.5
2026-04-25T14:33:22.108821,405,57,0.044097,0.007085,8.354844,0.044079,0.064576,0.024512,2.072555,0,1,1,19.8
2026-04-25T14:33:22.409528,410,55,0.038606,0.002463,9.289777,0.04748,0.072045,0.023693,2.055778,0,1,1,19.1
2026-04-25T14:33:22.767617,415,52,0.031076,0.000585,9.81329,0.044471,0.067166,0.019039,2.032205,0,1,1,18.1
2026-04-25T14:33:23.106555,420,48,0.023921,0.001027,8.587633,0.033962,0.046298,0.012522,1.977425,0,1,1,18.3
2026-04-25T14:33:23.375903,425,42,0.022584,0.001132,6.627324,0.02076,0.023787,0.008368,1.869752,0,1,1,19.5
2026-04-25T14:33:23.723188,430,40,0.025024,0.000483,5.325023,0.013521,0.010041,0.009683,1.742769,0,1,1,19.9
