timestamp,frame,risk,mouth,eye,tilt,brow,cheek,rigid,arm,alert_active,face_detected,pose_detected,fps
2026-05-03T16:26:55.650711,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2
2026-05-03T16:26:55.960154,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.3
2026-05-03T16:26:56.267618,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.5
2026-05-03T16:26:56.560859,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.4
2026-05-03T16:26:56.861553,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.1
2026-05-03T16:26:57.166767,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.1
2026-05-03T16:26:57.538716,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.8
2026-05-03T16:26:57.876052,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.4
2026-05-03T16:26:58.453824,40,1,0.006277,0.0,0.527319,0.000607,0.006991,0.0,0.126155,0,1,1,14.6
2026-05-03T16:26:58.993665,45,41,0.019721,0.0,1.9069,0.006168,0.021745,0.002152,0.660867,0,1,1,12.7
2026-05-03T16:26:59.426828,50,44,0.0314,0.0,3.280929,0.01123,0.03523,0.006042,1.200984,0,1,1,13.0
2026-05-03T16:26:59.941657,55,47,0.033853,0.0,3.71865,0.013338,0.038538,0.012048,1.344213,0,1,1,12.6
2026-05-03T16:27:00.463327,60,47,0.033598,0.0,3.704352,0.014379,0.038516,0.012816,1.386056,0,1,1,12.2
2026-05-03T16:27:00.913378,65,49,0.034334,0.0,3.587371,0.012594,0.037249,0.016459,1.411507,0,1,1,12.3
2026-05-03T16:27:01.487074,70,50,0.034931,0.0,3.50059,0.012126,0.036989,0.020574,1.399913,0,1,1,13.1
2026-05-03T16:27:02.030942,75,50,0.035856,0.0,3.76853,0.014635,0.039161,0.019913,1.377887,0,1,1,11.9
2026-05-03T16:27:02.512461,80,49,0.036442,0.0,4.104349,0.017792,0.042407,0.015199,1.360949,0,1,1,11.9
2026-05-03T16:27:03.071480,85,50,0.037395,0.0,4.365915,0.019335,0.044218,0.015806,1.381839,0,1,1,11.2
2026-05-03T16:27:03.616308,90,51,0.038883,0.0,4.443847,0.02026,0.045085,0.019977,1.404163,0,1,1,11.5
2026-05-03T16:27:04.058201,95,52,0.040791,0.0,4.525223,0.021017,0.045876,0.022811,1.412549,0,1,1,12.3
2026-05-03T16:27:04.608988,100,52,0.041763,0.0,4.531314,0.022029,0.047308,0.020129,1.415541,0,1,1,11.7
2026-05-03T16:27:05.106463,105,52,0.042995,0.0,4.679958,0.022231,0.047427,0.018421,1.389858,0,1,1,11.4
2026-05-03T16:27:05.565429,110,53,0.044529,0.0,4.828874,0.02212,0.047224,0.022872,1.38135,0,1,1,11.9
2026-05-03T16:27:05.816540,115,53,0.044753,0.0,4.844323,0.022445,0.048117,0.02401,1.386683,0,1,1,21.3
2026-05-03T16:27:06.015147,120,53,0.044487,0.0,4.812858,0.023068,0.0491,0.022476,1.423921,0,1,1,26.5
2026-05-03T16:27:06.188527,125,53,0.04362,0.0,4.781397,0.023364,0.049636,0.022747,1.394935,0,1,1,30.7
2026-05-03T16:27:06.368077,130,53,0.044145,0.0,4.761356,0.023702,0.050266,0.024321,1.351841,0,1,1,31.8
2026-05-03T16:27:06.557471,135,54,0.044424,0.0,4.803949,0.02408,0.051232,0.026146,1.32923,0,1,1,31.2
2026-05-03T16:27:06.715783,140,54,0.0445,0.0,4.886202,0.024281,0.052004,0.027641,1.364381,0,1,1,32.5
2026-05-03T16:27:06.882878,145,53,0.043377,0.0,4.648941,0.024602,0.052549,0.028379,1.403601,0,1,1,37.5
2026-05-03T16:27:07.076953,150,53,0.04257,0.0,4.360061,0.025187,0.053046,0.028331,1.416612,0,1,1,33.5
2026-05-03T16:27:07.276404,155,53,0.042874,0.0,4.325405,0.02557,0.053166,0.028281,1.39678,0,1,1,32.7
2026-05-03T16:27:07.471038,160,54,0.044013,0.0,4.586448,0.025507,0.052983,0.027607,1.326157,0,1,1,32.4
2026-05-03T16:27:07.663278,165,53,0.041532,0.0,4.612877,0.02533,0.053295,0.027134,1.324419,0,1,1,32.3
2026-05-03T16:27:07.824835,170,51,0.036679,0.0,4.036699,0.025312,0.053076,0.02686,1.348736,0,1,1,33.3
2026-05-03T16:27:08.008639,175,50,0.033435,0.0,3.577563,0.025227,0.052738,0.026695,1.37544,0,1,1,32.7
2026-05-03T16:27:08.190531,180,51,0.036399,0.0,3.944806,0.025673,0.052634,0.025931,1.387947,0,1,1,32.9
2026-05-03T16:27:08.372497,185,53,0.04159,0.0,4.745887,0.025986,0.052885,0.026694,1.404572,0,1,1,32.7
2026-05-03T16:27:08.581322,190,53,0.043074,0.0,5.04108,0.025942,0.053165,0.027331,1.438814,0,1,1,32.0
2026-05-03T16:27:08.797657,195,53,0.040704,0.0,4.967469,0.025762,0.052255,0.026256,1.408325,0,1,1,29.3
2026-05-03T16:27:09.006654,200,52,0.039911,0.0,4.904318,0.024559,0.047194,0.023739,1.350089,0,1,1,28.3
2026-05-03T16:27:09.219284,205,53,0.044655,0.0,5.256632,0.022141,0.041652,0.022517,1.367899,0,1,1,27.1
2026-05-03T16:27:09.439769,210,55,0.050358,0.0,5.866374,0.020393,0.040532,0.023382,1.433836,0,1,1,26.2
2026-05-03T16:27:09.651283,215,57,0.055637,0.0,7.384513,0.020058,0.045411,0.024846,1.464658,0,1,1,27.1
2026-05-03T16:27:09.919099,220,60,0.064725,0.0,9.65034,0.020932,0.049094,0.025323,1.467796,0,1,1,26.0
2026-05-03T16:27:10.159542,225,64,0.072385,0.0,11.613538,0.022185,0.053331,0.027061,1.467462,0,1,1,25.3
2026-05-03T16:27:10.951764,230,65,0.07446,0.0,11.993543,0.023572,0.0571,0.024629,1.484379,0,1,1,18.7
2026-05-03T16:27:11.535916,235,65,0.077259,0.000499,11.787758,0.025116,0.058229,0.022151,1.490711,0,1,1,15.6
2026-05-03T16:27:12.111018,240,61,0.069877,0.004444,10.058188,0.02463,0.055016,0.015607,1.46785,0,1,1,13.6
2026-05-03T16:27:12.559142,245,53,0.051858,0.005772,7.457104,0.022586,0.050979,0.011506,1.330911,0,1,1,13.1
2026-05-03T16:27:13.092939,250,49,0.038673,0.003244,5.421264,0.020911,0.047089,0.012481,1.265655,0,1,1,12.1
2026-05-03T16:27:13.700241,255,50,0.036416,0.00031,4.717262,0.020806,0.044551,0.018127,1.298205,0,1,1,11.0
2026-05-03T16:27:14.161430,260,51,0.03866,2.4e-05,4.843312,0.020883,0.043784,0.021872,1.439745,0,1,1,11.6
2026-05-03T16:27:14.668022,265,53,0.042323,2e-06,5.329111,0.021068,0.04395,0.022229,1.482789,0,1,1,11.3
2026-05-03T16:27:15.247684,270,53,0.043371,0.0,5.487844,0.020941,0.042949,0.02238,1.455823,0,1,1,10.7
2026-05-03T16:27:15.674125,275,53,0.044206,0.0,5.474634,0.021103,0.04276,0.023418,1.431104,0,1,1,11.7
2026-05-03T16:27:16.221995,280,53,0.043958,0.0,5.223519,0.021548,0.04233,0.024109,1.364397,0,1,1,11.6
2026-05-03T16:27:16.757061,285,53,0.044709,0.0,5.224249,0.022438,0.042724,0.024249,1.321068,0,1,1,11.6
2026-05-03T16:27:17.218716,290,53,0.041996,0.0,5.087625,0.023079,0.044147,0.024017,1.301228,0,1,1,11.9
2026-05-03T16:27:17.693977,295,52,0.039952,0.0,5.06207,0.023043,0.045389,0.024381,1.282196,0,1,1,11.9
2026-05-03T16:27:18.239506,300,52,0.040522,0.0,5.033147,0.023863,0.04581,0.025054,1.265806,0,1,1,11.5
2026-05-03T16:27:18.703291,305,53,0.042863,0.0,5.274532,0.024203,0.0463,0.025742,1.264891,0,1,1,11.4
2026-05-03T16:27:19.240399,310,53,0.043916,0.0,5.668161,0.023978,0.047544,0.02077,1.277499,0,1,1,11.4
2026-05-03T16:27:19.744516,315,51,0.044223,0.0,5.874101,0.023316,0.047973,0.013393,1.293144,0,1,1,11.2
2026-05-03T16:27:20.207226,320,51,0.044483,0.0,6.192353,0.022515,0.047333,0.013666,1.316888,0,1,1,11.4
