timestamp,frame,risk,mouth,eye,tilt,brow,cheek,rigid,arm,alert_active,face_detected,pose_detected,fps
2026-04-24T23:35:10.046787,0,0,0.000356,9.6e-05,0.107205,0.000439,0.000861,0.0,0.042936,0,1,1,0.1
2026-04-24T23:35:10.394251,5,41,0.012467,0.001216,2.334259,0.009724,0.020473,0.00207,0.550449,0,1,1,6.9
2026-04-24T23:35:10.763372,10,63,0.030972,0.003101,6.264496,0.024393,0.049485,0.007142,1.140955,0,1,1,10.9
2026-04-24T23:35:11.129466,15,75,0.042817,0.003866,9.324999,0.034307,0.066768,0.014965,1.40883,0,1,1,13.2
2026-04-24T23:35:11.415940,20,73,0.040275,0.003429,9.417199,0.032378,0.062746,0.019284,1.473909,0,1,1,16.0
2026-04-24T23:35:11.759722,25,65,0.032653,0.004106,7.701264,0.024223,0.053951,0.01749,1.505853,0,1,1,17.1
2026-04-24T23:35:12.131186,30,54,0.025069,0.005791,5.722211,0.015699,0.044038,0.014809,1.544321,0,1,1,16.5
2026-04-24T23:35:12.442247,35,46,0.018212,0.006064,4.471101,0.010101,0.034901,0.013521,1.507419,0,1,1,17.1
2026-04-24T23:35:12.816147,40,46,0.011903,0.005396,3.297329,0.007327,0.024816,0.013135,1.504553,0,1,1,17.6
2026-04-24T23:35:13.185687,45,42,0.007706,0.004086,2.189094,0.006264,0.013822,0.01197,1.454381,0,1,1,17.3
2026-04-24T23:35:13.512132,50,40,0.005369,0.002786,1.347679,0.005104,0.006523,0.011453,1.502487,0,1,1,17.6
2026-04-24T23:35:13.876636,55,40,0.003403,0.001863,1.431621,0.003143,0.00397,0.01374,1.621216,0,1,1,17.6
2026-04-24T23:35:14.221483,60,40,0.002827,0.001412,1.747207,0.002922,0.003181,0.018277,1.758621,0,1,1,17.7
2026-04-24T23:35:14.534615,65,40,0.003305,0.000939,2.050595,0.003896,0.002617,0.023728,1.800478,0,1,1,17.8
2026-04-24T23:35:14.895135,70,40,0.003995,0.000796,1.979708,0.004169,0.002348,0.02488,1.800371,0,1,1,18.5
2026-04-24T23:35:15.297306,75,40,0.00408,0.000664,1.748553,0.002914,0.003185,0.024725,1.814521,0,1,1,17.0
2026-04-24T23:35:15.579116,80,40,0.004192,0.000619,1.599574,0.001947,0.003317,0.025699,1.854009,0,1,1,18.4
2026-04-24T23:35:15.939827,85,40,0.005056,0.000657,1.555723,0.002038,0.002872,0.027154,1.864252,0,1,1,18.0
2026-04-24T23:35:16.329358,90,40,0.006044,0.00097,1.525866,0.002164,0.002452,0.026999,1.848504,0,1,1,16.8
2026-04-24T23:35:16.593805,95,40,0.007803,0.001484,1.308587,0.001727,0.003818,0.024359,1.817528,0,1,1,19.2
2026-04-24T23:35:16.926637,100,40,0.010366,0.001853,1.146214,0.001826,0.005724,0.022286,1.777379,0,1,1,18.8
2026-04-24T23:35:17.259350,105,40,0.012711,0.001674,1.150741,0.003845,0.00625,0.0232,1.738274,0,1,1,18.2
2026-04-24T23:35:17.523776,110,40,0.011598,0.001806,1.072163,0.004628,0.004389,0.024782,1.742033,0,1,1,18.9
2026-04-24T23:35:17.893966,115,40,0.009139,0.002094,0.912171,0.003139,0.003827,0.023316,1.778674,0,1,1,17.3
2026-04-24T23:35:18.259542,120,40,0.007267,0.002208,1.206552,0.002124,0.005075,0.021699,1.83211,0,1,1,16.8
2026-04-24T23:35:18.531640,125,40,0.005485,0.00218,1.663724,0.002055,0.006219,0.022023,1.878146,0,1,1,18.0
2026-04-24T23:35:18.852862,130,42,0.007705,0.001768,3.132483,0.00519,0.013437,0.020636,1.84097,0,1,1,18.7
2026-04-24T23:35:19.137583,135,46,0.013149,0.001554,4.720599,0.009692,0.021823,0.019398,1.785815,0,1,1,19.8
2026-04-24T23:35:19.391604,140,46,0.017028,0.001268,4.630101,0.011474,0.024017,0.021118,1.748359,0,1,1,21.2
2026-04-24T23:35:19.721844,145,48,0.020197,0.001289,3.125393,0.010603,0.020214,0.022143,1.717823,0,1,1,19.7
2026-04-24T23:35:20.066889,150,49,0.023437,0.001281,2.391641,0.010006,0.017803,0.023396,1.728271,0,1,1,18.3
2026-04-24T23:35:20.372108,155,50,0.024992,0.001198,2.219864,0.009611,0.017156,0.023938,1.777633,0,1,1,18.5
2026-04-24T23:35:20.725703,160,56,0.029563,0.001182,2.916588,0.012551,0.022866,0.020845,1.744896,0,1,1,18.0
2026-04-24T23:35:21.069772,165,76,0.045602,0.001989,6.301906,0.026825,0.04761,0.0148,1.657535,0,1,1,17.9
2026-04-24T23:35:21.351247,170,79,0.070648,0.003199,11.196725,0.047265,0.080588,0.011186,1.832196,0,1,1,18.4
2026-04-24T23:35:21.720332,175,81,0.083817,0.003816,13.486973,0.05806,0.096047,0.010881,1.97251,0,1,1,17.4
2026-04-24T23:35:22.037579,180,78,0.067066,0.003965,10.28198,0.045203,0.07304,0.009426,1.979039,0,1,1,18.2
2026-04-24T23:35:22.305805,185,68,0.035633,0.003654,6.057383,0.025536,0.040386,0.008184,1.980955,0,1,1,19.3
2026-04-24T23:35:22.626701,190,48,0.013577,0.002519,4.498611,0.014878,0.024831,0.011429,2.041252,0,1,1,19.7
2026-04-24T23:35:22.957318,195,47,0.00569,0.001972,4.324122,0.012373,0.020796,0.016759,2.087848,0,1,1,19.4
2026-04-24T23:35:23.263844,200,43,0.00326,0.00143,4.075435,0.009036,0.015661,0.02245,2.148031,0,1,1,19.5
2026-04-24T23:35:23.636748,205,42,0.002006,0.001144,3.898306,0.00656,0.012832,0.026255,2.203146,0,1,1,18.6
2026-04-24T23:35:23.963999,210,42,0.001575,0.000839,3.70193,0.005281,0.012298,0.027095,2.196643,0,1,1,18.1
2026-04-24T23:35:24.268721,215,42,0.001702,0.000851,3.488071,0.004707,0.012054,0.027304,2.174641,0,1,1,19.2
2026-04-24T23:35:24.601337,220,41,0.004708,0.001105,3.425966,0.004716,0.011246,0.025371,2.021718,0,1,1,19.7
2026-04-24T23:35:24.944565,225,42,0.010608,0.001329,3.315448,0.006577,0.01221,0.019794,1.71895,0,1,1,19.3
2026-04-24T23:35:25.206660,230,43,0.014697,0.002151,3.087605,0.008471,0.015609,0.017726,1.44319,0,1,1,21.1
2026-04-24T23:35:25.445715,235,44,0.015473,0.002328,2.836729,0.00902,0.017244,0.020982,1.332547,0,1,1,22.2
2026-04-24T23:35:25.740954,240,45,0.017094,0.001656,3.183406,0.008897,0.018753,0.024607,1.349749,0,1,1,20.9
2026-04-24T23:35:25.952364,245,45,0.017795,0.001516,3.463278,0.008208,0.019267,0.026685,1.381951,0,1,1,23.8
2026-04-24T23:35:26.230749,250,45,0.017451,0.001646,3.705355,0.006985,0.019569,0.026845,1.370304,0,1,1,22.5
2026-04-24T23:35:26.521468,255,46,0.018894,0.001473,3.999815,0.00665,0.018893,0.026155,1.330101,0,1,1,22.2
2026-04-24T23:35:26.782265,260,48,0.02289,0.001639,4.077429,0.007817,0.017122,0.024586,1.361217,0,1,1,21.7
2026-04-24T23:35:27.073830,265,51,0.027376,0.002613,3.846251,0.008628,0.014882,0.022048,1.487215,0,1,1,21.3
2026-04-24T23:35:27.406937,270,56,0.030885,0.003105,4.043765,0.011182,0.01901,0.017204,1.601939,0,1,1,20.1
2026-04-24T23:35:27.743632,275,63,0.036079,0.00246,5.060974,0.015917,0.028066,0.014228,1.650104,0,1,1,19.2
2026-04-24T23:35:28.113567,280,73,0.043852,0.00224,6.224451,0.021613,0.035861,0.01533,1.589078,0,1,1,18.1
2026-04-24T23:35:28.477585,285,75,0.045697,0.002267,6.590279,0.023198,0.039534,0.017353,1.470141,0,1,1,17.6
2026-04-24T23:35:28.724489,290,73,0.044083,0.003054,6.722299,0.021166,0.040884,0.019312,1.444064,0,1,1,19.4
2026-04-24T23:35:29.072639,295,72,0.04317,0.005923,6.841699,0.020857,0.044329,0.019597,1.528131,0,1,1,19.1
2026-04-24T23:35:29.429317,300,74,0.044737,0.006691,6.867637,0.021892,0.049102,0.019976,1.58293,0,1,1,17.9
2026-04-24T23:35:29.733591,305,74,0.046437,0.003537,6.72321,0.021952,0.050643,0.021978,1.586325,0,1,1,18.6
2026-04-24T23:35:30.099067,310,73,0.045728,0.002087,6.558675,0.020167,0.044919,0.022017,1.606342,0,1,1,17.9
